title_id,title_name,genre,release_year,origin_country,original_language,duration_min,age_rating,imdb_rating,provider,is_original,date_added,total_views,unique_viewers,avg_watch_duration,completion_rate,rewatch_rate,popularity_score,engagement_score,recency_years,maturity
1,Title 1,Comedy,1981,DE,German,97,PG,7.6,Netflux,1,2022-08-03,30,30,99.03333333333333,0.5,0.26666666666666666,94.33333333333333,2.2876288659793813,44,PG
2,Title 2,Romance,1985,JP,Japanese,48,G,6.8,Netflux,0,2017-06-14,22,22,92.95454545454545,0.4090909090909091,0.3181818181818182,83.56363636363636,3.072916666666667,40,G
3,Title 3,Thriller,2012,JP,English,90,NC-17,6.7,Streamio,0,2017-06-21,19,19,93.73684210526316,0.47368421052631576,0.15789473684210525,76.47894736842105,2.1467836257309942,13,NC-17
4,Title 4,Horror,2017,DE,English,80,R,6.7,CinemaNow,1,2018-02-12,19,19,106.21052631578948,0.42105263157894735,0.10526315789473684,71.21578947368421,2.275,8,R
5,Title 5,Action,1993,ES,Italian,63,R,8.9,Netflux,0,2019-01-10,25,25,94.76,0.56,0.28,101.5,2.904126984126984,32,R
6,Title 6,Documentary,2018,DE,English,157,NC-17,7.9,Netflux,1,2019-03-31,21,21,93.04761904761905,0.5714285714285714,0.19047619047619047,90.1952380952381,1.9259933272672127,7,NC-17
7,Title 7,Comedy,2015,DE,Dutch,89,G,6.4,Netflux,0,2022-06-01,37,37,93.91891891891892,0.4594594594594595,0.13513513513513514,83.92972972972974,2.1093228059520195,10,G
8,Title 8,Thriller,1998,UK,German,65,R,7.7,CinemaNow,0,2020-02-01,25,25,96.08,0.48,0.2,87.5,2.6381538461538465,27,R
9,Title 9,Documentary,1990,ES,Dutch,93,PG-13,7.3,Netflux,0,2021-10-31,21,21,99.28571428571429,0.6666666666666666,0.19047619047619047,91.95714285714286,2.591397849462366,35,PG-13
10,Title 10,Action,2014,FR,French,158,R,4.7,CinemaNow,0,2022-03-06,21,21,85.61904761904762,0.42857142857142855,0.2857142857142857,71.81428571428572,1.6847498493068112,11,R
11,Title 11,Romance,1994,KR,Dutch,54,PG,5.8,Netflux,0,2024-01-11,31,31,77.61290322580645,0.3870967741935484,0.25806451612903225,79.85806451612903,2.4695340501792113,31,PG
12,Title 12,Documentary,2005,DE,Italian,94,NC-17,7.4,CinemaNow,0,2017-05-20,18,18,76.16666666666667,0.3333333333333333,0.2222222222222222,75.57777777777778,1.6991725768321513,20,NC-17
13,Title 13,Horror,2005,KR,Korean,76,PG-13,8.8,ViewPrime,0,2017-10-07,16,15,97.875,0.5,0.375,97.15,2.6628289473684212,20,PG-13
14,Title 14,Romance,2014,DE,Japanese,142,PG-13,6.7,ViewPrime,0,2016-07-20,25,25,82.0,0.52,0.24,86.5,1.8574647887323945,11,PG-13
15,Title 15,Romance,2011,UK,English,68,PG,6.3,ViewPrime,0,2023-11-19,23,23,95.3913043478261,0.6521739130434783,0.391304347826087,97.47391304347826,3.0984654731457804,14,PG
16,Title 16,Animation,2018,UK,Japanese,137,NC-17,7.1,Streamio,0,2020-12-07,23,23,87.30434782608695,0.5217391304347826,0.13043478260869565,81.90869565217392,1.8111710568073625,7,NC-17
17,Title 17,Sci-Fi,2015,US,Italian,177,PG-13,6.3,CinemaNow,0,2016-04-01,25,25,88.0,0.68,0.32,96.5,2.177175141242938,10,PG-13
18,Title 18,Sci-Fi,2007,IT,Korean,40,PG-13,6.6,ViewPrime,0,2020-09-10,23,23,76.04347826086956,0.5217391304347826,0.2608695652173913,85.9304347826087,3.205434782608695,18,PG-13
19,Title 19,Comedy,2020,DE,German,79,PG-13,7.0,ViewPrime,0,2021-01-18,26,26,99.1923076923077,0.38461538461538464,0.15384615384615385,77.52307692307693,2.1786757546251216,5,PG-13
20,Title 20,Romance,1980,JP,Dutch,165,G,5.7,Netflux,1,2019-01-26,31,31,104.45161290322581,0.5161290322580645,0.12903225806451613,79.35806451612903,1.7943304007820138,45,G
